,Date,Total Test,Total Cases,Total Deaths,Total Recovered,New test,New Cases,New Deaths,New Recovered
2,2020-02-13 00:00:00,187,3,0,2,,,0,
3,2020-03-07 00:00:00,111,0,0,0,,,0,
4,2020-03-11 00:00:00,142,3,0,2,,,0,
5,2020-03-12 00:00:00,163,3,0,2,,,0,
6,2020-03-14 00:00:00,211,5,0,,,,0,
7,2020-03-15 00:00:00,231,5,0,3,,,0,
8,2020-03-16 00:00:00,241,8,0,3,,,0,0
9,2020-03-17 00:00:00,277,10,0,2,,,0,0
10,2020-03-18 00:00:00,351,14,1,3,10,4,1,1
11,2020-03-19 00:00:00,397,17,1,3,46,3,0,0
12,2020-03-20 00:00:00,433,20,1,3,36,3,0,0
13,2020-03-21 00:00:00,433,24,2,3,36,4,1,2
16,2020-03-22 00:00:00,564,27,2,5,27,3,0,0
17,2020-03-23 00:00:00,620,33,3,5,56,6,1,0
18,2020-03-24 00:00:00,712,39,4,5,92,6,1,0
19,2020-03-25 00:00:00,794,39,5,5,82,0,1,6
20,2020-03-26 00:00:00,920,44,5,11,126,5,0,0
21,2020-03-27 00:00:00,1026,48,5,11,106,4,0,0
22,2020-03-28 00:00:00,1076,48,5,15,47,0,0,4
23,2020-03-29 00:00:00,1185,48,5,15,109,0,0,4
24,2020-03-30 00:00:00,1338,49,5,19,153,1,0,4
25,2020-03-31 00:00:00,1602,51,5,25,140,2,0,6
26,2020-04-01 00:00:00,1759,54,6,26,157,1,1,1
27,2020-04-02 00:00:00,1906,56,6,26,141,2,0,0
28,2020-04-03 00:00:00,2113,61,6,26,203,5,0,0
29,2020-04-04 00:00:00,2547,70,8,30,434,9,2,4
30,2020-04-05 00:00:00,2914,88,9,33,367,18,1,3
31,2020-04-06 00:00:00,3610,164,17,33,468,41,5,0
32,2020-04-07 00:00:00,4289,164,17,33,792,41,5,0
33,2020-04-08 00:00:00,5194,218,20,33,981,54,3,0
34,2020-04-09 00:00:00,6175,330,21,33,905,112,1,0
35,2020-04-10 00:00:00,7359,424,27,33,1184,94,6,0
36,2020-04-11 00:00:00,8313,482,30,36,954,58,3,3
37,2020-04-12 00:00:00,9653,621,34,39,1340,139,4,3
38,2020-04-13 00:00:00,11223,803,39,42,1570,182,5,3
39,2020-04-14 00:00:00,13128,1012,46,42,1905,209,7,0
40,2020-04-15 00:00:00,14868,1231,50,49,1740,219,4,7
41,2020-04-16 00:00:00,17003,1572,60,49,2135,341,10,0
42,2020-04-17 00:00:00,19193,1838,75,58,2190,266,15,9
43,2020-04-18 00:00:00,21307,2144,84,66,2114,306,9,8
44,2020-04-19 00:00:00,23941,2456,91,75,2634,312,7,9
45,2020-04-20 00:00:00,26604,2948,101,85,2779,492,10,10
46,2020-04-21 00:00:00,29578,3382,110,87,2974,434,9,2
47,2020-04-22 00:00:00,32630,3772,120,92,3043,390,10,5
48,2020-04-23 00:00:00,36090,4186,127,108,3460,414,7,16
49,2020-04-24 00:00:00,39476,4689,131,112,3386,503,4,4
50,2020-04-25 00:00:00,43113,4998,140,113,3637,309,9,1
51,2020-04-26 00:00:00,46589,5416,145,122,3476,418,5,9
52,2020-04-27 00:00:00,50401,5913,152,131,3812,497,7,9
53,2020-04-28 00:00:00,54733,6462,155,139,4332,549,3,8
